Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
06/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3208.512
07/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3153.536
08/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3166.372
09/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3147.019
12/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3181.092
13/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3181.552
14/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3193.872
15/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3228.917
16/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3234.712
19/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3236.379
20/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3207.707
21/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3156.17
22/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3164.674
23/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3124.029
26/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3124.029
27/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3144.272
28/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3158.364
29/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3175.809
30/05/2008,#N/A N/A,#N/A N/A,#N/A N/A,3182.136
02/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3150.667
03/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3134.099
04/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3133.309
05/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3196.107
06/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3100.935
09/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3103.222
10/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3093.703
11/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3042.983
12/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3051.839
13/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3097.908
16/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3100.182
17/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3082.083
18/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3052.637
19/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3062.558
20/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3006.792
23/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3007.183
24/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,2996.23
25/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,3014.09
26/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,2927.565
27/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,2917.776
30/06/2008,#N/A N/A,#N/A N/A,#N/A N/A,2921.23
01/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2931.654
02/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2875.774
03/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2875.41
04/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2875.41
07/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2851.22
08/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2899.816
09/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2836.119
10/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2857.027
11/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2826.862
14/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2803.375
15/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2772.355
16/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2838.798
17/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2871.151
18/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2871.046
21/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2873.48
22/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2908.727
23/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2918.577
24/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2850.67
25/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2863.311
28/07/2008,#N/A N/A,#N/A N/A,#N/A N/A,2812.059
